"Variante","Endpoint","RPS","p50_ms","p95_ms","p99_ms","Error_pct"
"A : Jersey","GET /items","16.60","3997","4494","6027","0.0"
"A : Jersey","GET /categories","16.81","3883","4340","5353","0.0"
"A : Jersey","TOTAL","33.00","3937","4428","5714","0.0"
"C : @RestController","GET /items","16.94","3178","3626","4917","0.0"
"C : @RestController","GET /categories","16.83","3870","4334","5690","0.0"
"C : @RestController","TOTAL","33.71","3563","4128","5401","0.0"
"D : Spring Data REST","GET /items","79.36","679","778","961","0.0"
"D : Spring Data REST","GET /categories","79.36","498","579","744","0.0"
"D : Spring Data REST","TOTAL","158.55","585","665","847","0.0"
